Tokens	linha	coluna	tipo
int	0	0	PALAVRA_RESERVADA
x	0	4	IDENTIFICADOR
=	0	5	OPERADOR_ARITMETICO
10	0	6	NUMERO
;	0	8	SEPARADOR
String	2	0	IDENTIFICADOR
nome	2	7	IDENTIFICADOR
=	2	11	OPERADOR_ARITMETICO
"	2	12	LITERAL
Gabriel	2	13	IDENTIFICADOR
"	2	20	LITERAL
;	2	22	SEPARADOR
if	5	0	IDENTIFICADOR
(	5	3	SEPARADOR
x	5	5	IDENTIFICADOR
>	5	7	OPERADOR_LOGICO
5	5	9	NUMERO
)	5	11	SEPARADOR
{	5	13	SEPARADOR
x	6	4	IDENTIFICADOR
=	6	6	OPERADOR_ARITMETICO
x	6	8	IDENTIFICADOR
+	6	10	OPERADOR_ARITMETICO
1	6	12	NUMERO
;	6	14	SEPARADOR
}	6	16	SEPARADOR
