valor	linha	coluna	tipoToken
{	1	1	SEPARADOR
int	2	3	PALAVRA_RESERVADA
x	2	7	IDENTIFICADOR
=	2	9	OPERADOR_ARITMETICO
10	2	11	NUMERO
;	2	13	SEPARADOR
float	3	3	PALAVRA_RESERVADA
y	3	9	IDENTIFICADOR
=	3	11	OPERADOR_ARITMETICO
x	3	13	IDENTIFICADOR
+	3	15	OPERADOR_ARITMETICO
2.5	3	17	NUMERO
;	3	20	SEPARADOR
bool	5	3	PALAVRA_RESERVADA
b	5	8	IDENTIFICADOR
=	5	10	OPERADOR_ARITMETICO
True	5	12	PALAVRA_RESERVADA
;	5	16	SEPARADOR
int	7	3	PALAVRA_RESERVADA
z	7	7	IDENTIFICADOR
=	7	9	OPERADOR_ARITMETICO
b	7	11	IDENTIFICADOR
+	7	13	OPERADOR_ARITMETICO
1	7	15	NUMERO
;	7	16	SEPARADOR
bool	9	3	PALAVRA_RESERVADA
flag	9	8	IDENTIFICADOR
=	9	13	OPERADOR_ARITMETICO
1	9	15	NUMERO
;	9	16	SEPARADOR
bool	11	3	PALAVRA_RESERVADA
ok	11	8	IDENTIFICADOR
=	11	11	OPERADOR_ARITMETICO
x	11	13	IDENTIFICADOR
<	11	15	OPERADOR_LOGICO
10	11	17	NUMERO
;	11	19	SEPARADOR
}	12	1	SEPARADOR
