Tokens	linha	coluna	tipoToken
{	0	0	SEPARADOR
int	1	4	PALAVRA_RESERVADA
x	1	8	IDENTIFICADOR
=	1	10	OPERADOR_ARITMETICO
10	1	12	NUMERO
;	1	14	SEPARADOR
int	2	4	PALAVRA_RESERVADA
i	2	8	IDENTIFICADOR
=	2	10	OPERADOR_ARITMETICO
0	2	12	NUMERO
;	2	14	SEPARADOR
for	3	4	PALAVRA_RESERVADA
(	3	7	SEPARADOR
int	3	8	PALAVRA_RESERVADA
a	3	12	IDENTIFICADOR
=	3	14	OPERADOR_ARITMETICO
0	3	15	NUMERO
;	3	16	SEPARADOR
i	3	18	IDENTIFICADOR
<	3	20	OPERADOR_LOGICO
4	3	22	NUMERO
;	3	23	SEPARADOR
i	3	25	IDENTIFICADOR
=	3	27	OPERADOR_ARITMETICO
i	3	29	IDENTIFICADOR
+	3	30	OPERADOR_ARITMETICO
1	3	31	NUMERO
)	3	32	SEPARADOR
{	3	33	SEPARADOR
int	4	8	PALAVRA_RESERVADA
b	4	12	IDENTIFICADOR
=	4	14	OPERADOR_ARITMETICO
9	4	16	NUMERO
+	4	18	OPERADOR_ARITMETICO
i	4	20	IDENTIFICADOR
;	4	21	SEPARADOR
}	5	4	SEPARADOR
x	6	4	IDENTIFICADOR
=	6	6	OPERADOR_ARITMETICO
x	6	8	IDENTIFICADOR
+	6	10	OPERADOR_ARITMETICO
1	6	11	NUMERO
;	6	12	SEPARADOR
}	7	0	SEPARADOR

