valor	linha	coluna	tipoToken
{	1	1	SEPARADOR
int	2	5	PALAVRA_RESERVADA
a	2	9	IDENTIFICADOR
=	2	11	OPERADOR_ARITMETICO
10	2	13	NUMERO
;	2	15	SEPARADOR
float	3	5	PALAVRA_RESERVADA
b	3	11	IDENTIFICADOR
=	3	13	OPERADOR_ARITMETICO
a	3	15	IDENTIFICADOR
+	3	17	OPERADOR_ARITMETICO
0.5	3	19	NUMERO
;	3	22	SEPARADOR
bool	4	5	PALAVRA_RESERVADA
ok	4	10	IDENTIFICADOR
=	4	13	OPERADOR_ARITMETICO
a	4	15	IDENTIFICADOR
<	4	17	OPERADOR_LOGICO
20	4	19	NUMERO
;	4	21	SEPARADOR
{	5	5	SEPARADOR
int	6	9	PALAVRA_RESERVADA
c	6	13	IDENTIFICADOR
=	6	15	OPERADOR_ARITMETICO
a	6	17	IDENTIFICADOR
+	6	19	OPERADOR_ARITMETICO
1	6	21	NUMERO
;	6	22	SEPARADOR
float	7	9	PALAVRA_RESERVADA
d	7	15	IDENTIFICADOR
=	7	17	OPERADOR_ARITMETICO
b	7	19	IDENTIFICADOR
*	7	21	OPERADOR_ARITMETICO
c	7	23	IDENTIFICADOR
;	7	24	SEPARADOR
bool	8	9	PALAVRA_RESERVADA
check	8	14	IDENTIFICADOR
=	8	20	OPERADOR_ARITMETICO
d	8	22	IDENTIFICADOR
>	8	24	OPERADOR_LOGICO
0	8	26	NUMERO
;	8	27	SEPARADOR
}	9	5	SEPARADOR
}	10	1	SEPARADOR
