valor	linha	coluna	tipoToken
{	1	1	SEPARADOR
int	2	5	PALAVRA_RESERVADA
a	2	9	IDENTIFICADOR
=	2	11	OPERADOR_ARITMETICO
5	2	13	NUMERO
;	2	15	SEPARADOR
b	4	5	IDENTIFICADOR
=	4	7	OPERADOR_ARITMETICO
a	4	9	IDENTIFICADOR
+	4	11	OPERADOR_ARITMETICO
1	4	13	NUMERO
;	4	15	SEPARADOR
int	6	5	PALAVRA_RESERVADA
c	6	9	IDENTIFICADOR
=	6	11	OPERADOR_ARITMETICO
d	6	13	IDENTIFICADOR
+	6	15	OPERADOR_ARITMETICO
1	6	17	NUMERO
;	6	19	SEPARADOR
int	8	5	PALAVRA_RESERVADA
e	8	9	IDENTIFICADOR
=	8	11	OPERADOR_ARITMETICO
a	8	13	IDENTIFICADOR
+	8	15	OPERADOR_ARITMETICO
2	8	17	NUMERO
;	8	19	SEPARADOR
}	9	1	SEPARADOR
