valor	linha	coluna	tipoToken
{	1	1	SEPARADOR
int	2	5	PALAVRA_RESERVADA
x	2	9	IDENTIFICADOR
;	2	10	SEPARADOR
int	3	5	PALAVRA_RESERVADA
y	3	9	IDENTIFICADOR
;	3	10	SEPARADOR
y	5	5	IDENTIFICADOR
=	5	7	OPERADOR_ARITMETICO
x	5	9	IDENTIFICADOR
+	5	11	OPERADOR_ARITMETICO
1	5	13	NUMERO
;	5	14	SEPARADOR
int	7	5	PALAVRA_RESERVADA
z	7	9	IDENTIFICADOR
=	7	11	OPERADOR_ARITMETICO
y	7	13	IDENTIFICADOR
+	7	15	OPERADOR_ARITMETICO
2	7	17	NUMERO
;	7	19	SEPARADOR
x	9	5	IDENTIFICADOR
=	9	7	OPERADOR_ARITMETICO
10	9	9	NUMERO
;	9	11	SEPARADOR
int	11	5	PALAVRA_RESERVADA
w	11	9	IDENTIFICADOR
=	11	11	OPERADOR_ARITMETICO
x	11	13	IDENTIFICADOR
+	11	15	OPERADOR_ARITMETICO
5	11	17	NUMERO
;	11	19	SEPARADOR
}	12	1	SEPARADOR
