valor	linha	coluna	tipoToken
{	1	1	SEPARADOR
bool	2	5	PALAVRA_RESERVADA
flag	2	10	IDENTIFICADOR
=	2	15	OPERADOR_ARITMETICO
True	2	17	PALAVRA_RESERVADA
;	2	21	SEPARADOR
int	3	5	PALAVRA_RESERVADA
x	3	9	IDENTIFICADOR
=	3	11	OPERADOR_ARITMETICO
5	3	13	NUMERO
;	3	14	SEPARADOR
float	4	5	PALAVRA_RESERVADA
f	4	11	IDENTIFICADOR
=	4	13	OPERADOR_ARITMETICO
3.14	4	15	NUMERO
;	4	19	SEPARADOR
int	6	5	PALAVRA_RESERVADA
erro1	6	9	IDENTIFICADOR
=	6	15	OPERADOR_ARITMETICO
flag	6	17	IDENTIFICADOR
+	6	22	OPERADOR_ARITMETICO
x	6	24	IDENTIFICADOR
;	6	25	SEPARADOR
float	8	5	PALAVRA_RESERVADA
erro2	8	11	IDENTIFICADOR
=	8	17	OPERADOR_ARITMETICO
flag	8	19	IDENTIFICADOR
*	8	24	OPERADOR_ARITMETICO
f	8	26	IDENTIFICADOR
;	8	27	SEPARADOR
bool	10	5	PALAVRA_RESERVADA
erro3	10	10	IDENTIFICADOR
=	10	16	OPERADOR_ARITMETICO
x	10	18	IDENTIFICADOR
;	10	19	SEPARADOR
int	12	5	PALAVRA_RESERVADA
ok1	12	9	IDENTIFICADOR
=	12	13	OPERADOR_ARITMETICO
x	12	15	IDENTIFICADOR
+	12	17	OPERADOR_ARITMETICO
1	12	19	NUMERO
;	12	20	SEPARADOR
float	13	5	PALAVRA_RESERVADA
ok2	13	11	IDENTIFICADOR
=	13	15	OPERADOR_ARITMETICO
x	13	17	IDENTIFICADOR
+	13	19	OPERADOR_ARITMETICO
f	13	21	IDENTIFICADOR
;	13	22	SEPARADOR
}	14	1	SEPARADOR
