valor	linha	coluna	tipoToken
{	1	1	SEPARADOR
int	2	5	PALAVRA_RESERVADA
x	2	9	IDENTIFICADOR
=	2	11	OPERADOR_ARITMETICO
10	2	13	NUMERO
;	2	15	SEPARADOR
int	3	5	PALAVRA_RESERVADA
x	3	9	IDENTIFICADOR
=	3	11	OPERADOR_ARITMETICO
20	3	13	NUMERO
;	3	15	SEPARADOR
int	4	5	PALAVRA_RESERVADA
y	4	9	IDENTIFICADOR
=	4	11	OPERADOR_ARITMETICO
x	4	13	IDENTIFICADOR
+	4	15	OPERADOR_ARITMETICO
5	4	17	NUMERO
;	4	19	SEPARADOR
{	6	5	SEPARADOR
int	7	9	PALAVRA_RESERVADA
x	7	13	IDENTIFICADOR
=	7	15	OPERADOR_ARITMETICO
99	7	17	NUMERO
;	7	19	SEPARADOR
int	8	9	PALAVRA_RESERVADA
z	8	13	IDENTIFICADOR
=	8	15	OPERADOR_ARITMETICO
x	8	17	IDENTIFICADOR
+	8	19	OPERADOR_ARITMETICO
y	8	21	IDENTIFICADOR
;	8	23	SEPARADOR
}	9	5	SEPARADOR
int	11	5	PALAVRA_RESERVADA
r	11	9	IDENTIFICADOR
=	11	11	OPERADOR_ARITMETICO
x	11	13	IDENTIFICADOR
+	11	15	OPERADOR_ARITMETICO
y	11	17	IDENTIFICADOR
;	11	19	SEPARADOR
}	12	1	SEPARADOR
