valor	linha	coluna	tipoToken
{	1	1	SEPARADOR
int	2	5	PALAVRA_RESERVADA
a	2	9	IDENTIFICADOR
=	2	11	OPERADOR_ARITMETICO
5	2	13	NUMERO
;	2	15	SEPARADOR
int	3	5	PALAVRA_RESERVADA
b	3	9	IDENTIFICADOR
;	3	10	SEPARADOR
bool	4	5	PALAVRA_RESERVADA
flag	4	10	IDENTIFICADOR
;	4	14	SEPARADOR
float	5	5	PALAVRA_RESERVADA
f	5	11	IDENTIFICADOR
;	5	12	SEPARADOR
float	7	5	PALAVRA_RESERVADA
r1	7	11	IDENTIFICADOR
=	7	14	OPERADOR_ARITMETICO
b	7	16	IDENTIFICADOR
+	7	18	OPERADOR_ARITMETICO
1.0	7	20	NUMERO
;	7	23	SEPARADOR
int	9	5	PALAVRA_RESERVADA
r2	9	9	IDENTIFICADOR
=	9	12	OPERADOR_ARITMETICO
flag	9	14	IDENTIFICADOR
+	9	19	OPERADOR_ARITMETICO
a	9	21	IDENTIFICADOR
;	9	23	SEPARADOR
f	11	5	IDENTIFICADOR
=	11	7	OPERADOR_ARITMETICO
a	11	9	IDENTIFICADOR
+	11	11	OPERADOR_ARITMETICO
2.5	11	13	NUMERO
;	11	16	SEPARADOR
float	12	5	PALAVRA_RESERVADA
r3	12	11	IDENTIFICADOR
=	12	14	OPERADOR_ARITMETICO
f	12	16	IDENTIFICADOR
*	12	18	OPERADOR_ARITMETICO
a	12	20	IDENTIFICADOR
;	12	22	SEPARADOR
bool	14	5	PALAVRA_RESERVADA
ok	14	10	IDENTIFICADOR
=	14	13	OPERADOR_ARITMETICO
a	14	15	IDENTIFICADOR
<	14	17	OPERADOR_LOGICO
10	14	19	NUMERO
;	14	21	SEPARADOR
int	16	5	PALAVRA_RESERVADA
ruim	16	9	IDENTIFICADOR
=	16	14	OPERADOR_ARITMETICO
ok	16	16	IDENTIFICADOR
+	16	19	OPERADOR_ARITMETICO
a	16	21	IDENTIFICADOR
;	16	23	SEPARADOR
}	17	1	SEPARADOR
