Tokens	linha	coluna	tipo
{	0	0	SEPARADOR
int	1	4	PALAVRA_RESERVADA
x	1	8	IDENTIFICADOR
=	1	10	OPERADOR_ARITMETICO
10	1	12	NUMERO
;	1	14	SEPARADOR
int	2	4	PALAVRA_RESERVADA
i	2	8	IDENTIFICADOR
=	2	10	OPERADOR_ARITMETICO
0	2	12	NUMERO
;	2	13	SEPARADOR
for	4	4	PALAVRA_RESERVADA
(	4	7	SEPARADOR
int	4	8	PALAVRA_RESERVADA
a	4	12	IDENTIFICADOR
=	4	14	OPERADOR_ARITMETICO
0	4	16	NUMERO
;	4	17	SEPARADOR
i	4	19	IDENTIFICADOR
<	4	21	OPERADOR_LOGICO
4	4	23	NUMERO
;	4	24	SEPARADOR
i	4	26	IDENTIFICADOR
=	4	28	OPERADOR_ARITMETICO
i	4	30	IDENTIFICADOR
+	4	32	OPERADOR_ARITMETICO
1	4	34	NUMERO
)	4	35	SEPARADOR
{	4	36	SEPARADOR
int	5	8	PALAVRA_RESERVADA
b	5	12	IDENTIFICADOR
=	5	14	OPERADOR_ARITMETICO
9	5	16	NUMERO
+	5	18	OPERADOR_ARITMETICO
i	5	20	IDENTIFICADOR
;	5	21	SEPARADOR
}	6	4	SEPARADOR
for	8	4	PALAVRA_RESERVADA
(	8	7	SEPARADOR
;	8	8	SEPARADOR
;	8	9	SEPARADOR
)	8	10	SEPARADOR
{	8	11	SEPARADOR
}	10	4	SEPARADOR
bool	12	4	PALAVRA_RESERVADA
cond	12	9	IDENTIFICADOR
=	12	14	OPERADOR_ARITMETICO
True	12	16	PALAVRA_RESERVADA
;	12	20	SEPARADOR
while	13	4	PALAVRA_RESERVADA
(	13	9	SEPARADOR
cond	13	10	IDENTIFICADOR
)	13	14	SEPARADOR
{	13	15	SEPARADOR
int	14	8	PALAVRA_RESERVADA
b	14	12	IDENTIFICADOR
=	14	14	OPERADOR_ARITMETICO
8	14	16	NUMERO
;	14	17	SEPARADOR
if	15	8	PALAVRA_RESERVADA
(	15	11	SEPARADOR
b	15	12	IDENTIFICADOR
==	15	14	OPERADOR_LOGICO
8	15	17	NUMERO
)	15	18	SEPARADOR
{	15	19	SEPARADOR
int	16	12	PALAVRA_RESERVADA
teste	16	16	IDENTIFICADOR
=	16	22	OPERADOR_ARITMETICO
b	16	24	IDENTIFICADOR
;	16	25	SEPARADOR
}	17	8	SEPARADOR
cond	18	8	IDENTIFICADOR
=	18	13	OPERADOR_ARITMETICO
False	18	15	PALAVRA_RESERVADA
;	18	20	SEPARADOR
}	19	4	SEPARADOR
int	21	4	PALAVRA_RESERVADA
s	21	8	IDENTIFICADOR
=	21	10	OPERADOR_ARITMETICO
10	21	12	NUMERO
;	21	14	SEPARADOR
}	22	0	SEPARADOR
